file,start_time,end_time,blast
A_20240702_002800.WAV,0,3,0
A_20240702_002800.WAV,3,6,0
A_20240702_002800.WAV,6,9,0
A_20240702_002800.WAV,9,12,0
A_20240702_002800.WAV,12,15,0
A_20240702_002800.WAV,15,16,0
A_20240702_002800.WAV,16,21,0
A_20240702_002800.WAV,21,24,0
A_20240702_002800.WAV,24,27,0
A_20240702_002800.WAV,27,30,0
A_20240702_002800.WAV,30,33,0
A_20240702_002800.WAV,33,36,0
A_20240702_002800.WAV,36,39,0
A_20240702_002800.WAV,39,42,1
A_20240702_002800.WAV,42,45,0
A_20240702_002800.WAV,45,48,0
A_20240702_002800.WAV,48,51,0
A_20240702_002800.WAV,51,54,0
A_20240702_002800.WAV,54,57,0
A_20240702_002800.WAV,57,60,0
B_20240702_002802.WAV,0,3,0
B_20240702_002802.WAV,3,6,0
B_20240702_002802.WAV,6,9,0
B_20240702_002802.WAV,9,12,0
B_20240702_002802.WAV,12,15,0
B_20240702_002802.WAV,15,16,0
B_20240702_002802.WAV,16,21,0
B_20240702_002802.WAV,21,24,0
B_20240702_002802.WAV,24,27,0
B_20240702_002802.WAV,27,30,0
B_20240702_002802.WAV,30,33,
B_20240702_002802.WAV,33,36,1
B_20240702_002802.WAV,36,39,0
B_20240702_002802.WAV,39,42,0
B_20240702_002802.WAV,42,45,0
B_20240702_002802.WAV,45,48,0
B_20240702_002802.WAV,48,51,0
B_20240702_002802.WAV,51,54,0
B_20240702_002802.WAV,54,57,0
B_20240702_002802.WAV,57,60,0
C_20240702_002800.WAV,0,3,0
C_20240702_002800.WAV,3,6,0
C_20240702_002800.WAV,6,9,0
C_20240702_002800.WAV,9,12,0
C_20240702_002800.WAV,12,15,0
C_20240702_002800.WAV,15,16,0
C_20240702_002800.WAV,16,21,0
C_20240702_002800.WAV,21,24,0
C_20240702_002800.WAV,24,27,0
C_20240702_002800.WAV,27,30,0
C_20240702_002800.WAV,30,33,0
C_20240702_002800.WAV,33,36,0
C_20240702_002800.WAV,36,39,1
C_20240702_002800.WAV,39,42,0
C_20240702_002800.WAV,42,45,0
C_20240702_002800.WAV,45,48,0
C_20240702_002800.WAV,48,51,0
C_20240702_002800.WAV,51,54,0
C_20240702_002800.WAV,54,57,0
C_20240702_002800.WAV,57,60,0
